Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3040194511413574,0.1015625,5.0272861328125,0.1006,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
10,2.5768428932536733,0.111328125,2.310790246582031,0.1035,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
20,2.419493380047026,0.1212797619047619,2.167644580078125,0.2031,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
30,2.323516115065544,0.15051663306451613,2.041274041748047,0.2238,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
40,2.245851999375878,0.17368521341463414,1.9449870239257812,0.2602,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
50,2.1734393951939603,0.20170802696078433,1.8080040344238282,0.3364,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
60,2.1108612349775973,0.2236808401639344,1.7622255981445312,0.3337,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
70,2.052146312216638,0.24370048415492956,1.6393749389648438,0.3901,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
80,1.996026705812525,0.2634307484567901,1.60335615234375,0.4152,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
90,1.9489984184831053,0.2796832074175824,1.5422029205322265,0.4299,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
100,1.9050141577023374,0.29633654144675564,1.4687248718261718,0.4556,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
110,1.8617503573685101,0.3121116916125388,1.378196127319336,0.4817,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
120,1.8222305260307274,0.32603276353276356,1.3650217834472655,0.4989,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
130,1.7847426550663763,0.3404388902176513,1.3186671142578126,0.512,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
140,1.7534905403779628,0.3513524772272828,1.3522149658203124,0.5089,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
150,1.72419380009162,0.3627878033602987,1.2388039123535157,0.5401,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
160,1.6961776883285395,0.373322310834468,1.2447167205810548,0.5424,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
170,1.6706251728733343,0.3829884636513459,1.2406760070800782,0.5509,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
180,1.6449367277062572,0.3924818370524131,1.2265924987792969,0.5616,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
190,1.6207334183607116,0.40231109654155056,1.145547866821289,0.591,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
200,1.5964546349416844,0.41170046801872073,1.090520541381836,0.6085,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
210,1.5701120291563944,0.42176820208023774,1.0876738433837891,0.6144,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
220,1.5459725159448934,0.4306826241134752,1.0273084442138671,0.6285,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
230,1.5228857565767244,0.4396540027137042,1.00766220703125,0.6385,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
240,1.5004853172947124,0.4484801690507152,0.9996181243896485,0.646,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
250,1.4787200701519494,0.4567961922596754,1.0917217224121094,0.6174,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
260,1.4595864800845875,0.4642406962785114,0.9980306335449218,0.6488,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
270,1.4411404052910777,0.47129335260115607,0.9590471252441406,0.662,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
280,1.4220696250464737,0.4787695094760312,1.0230085021972657,0.6395,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
290,1.4049867428799108,0.48538078579117333,0.9392238403320312,0.6675,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
300,1.3879975097255666,0.49175044275445357,0.8865758819580078,0.6852,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
310,1.3701169611718076,0.4986200725879625,0.8775004577636719,0.6912,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
320,1.3516077119305865,0.5054814923332357,0.9832426330566406,0.6612,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
330,1.335161263478255,0.5117435363197272,0.8887863891601563,0.6858,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
340,1.3198363045272457,0.5176601709715967,0.8694490203857422,0.6896,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
350,1.3040504610552321,0.5235456290740245,0.8346137786865234,0.7058,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
360,1.2892196594670122,0.5292017536244465,0.8301937744140625,0.7128,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
370,1.2752368247773822,0.5346893741025425,0.797715786743164,0.7188,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
380,1.261171878996977,0.5401194588370755,0.8029472854614258,0.7246,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
390,1.2477938854328494,0.5450506851510538,0.7876938507080078,0.7231,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
400,1.2350164463567033,0.5500566937754144,0.8287174102783204,0.7084,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
410,1.221217146289396,0.5551762282575526,0.7922398223876953,0.7293,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
420,1.2077466264735526,0.5602798257372654,0.749307780456543,0.74,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
430,1.1948230991468964,0.5651503855106197,0.7580446746826172,0.7392,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
440,1.1812185075156283,0.5703280494739835,0.7798364608764649,0.7309,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
450,1.168282884142284,0.5750321448429246,0.7608674926757812,0.7364,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
460,1.1561669548601115,0.5795570437856948,0.7561929840087891,0.7422,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
470,1.145433746629298,0.5836688182060155,0.760067839050293,0.7385,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
480,1.1343143840677452,0.5878860437842064,0.7202675933837891,0.7494,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
490,1.124876052794073,0.5914846394583892,0.7528640762329102,0.7434,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
500,1.1130859881533157,0.5958213369218252,0.7316079681396485,0.7511,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
510,1.1015608311723535,0.600210161379395,0.7328217926025391,0.7519,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
520,1.090089747182168,0.6043321598363122,0.7325074996948242,0.753,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
530,1.0791383232467606,0.6083832733069611,0.7335697586059571,0.7573,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
540,1.0691003925438212,0.6120994379092543,0.713786312866211,0.7582,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
550,1.0589645993636996,0.6158296353188827,0.7200703918457031,0.7575,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
560,1.0493175279909641,0.6194613622394815,0.738798616027832,0.7535,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
570,1.0400853876605047,0.6228351265301642,0.6976157928466797,0.761,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
580,1.030932571584818,0.6263149376921832,0.7052400039672851,0.7654,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
590,1.0220687794961154,0.6296594768120556,0.7041943389892578,0.7573,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
600,1.0118460548728887,0.6333905092351039,0.7192338333129883,0.7663,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
610,1.0020380478723576,0.6369925844195833,0.7746535202026367,0.7563,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
620,0.9924207220507982,0.640509820256488,0.7184394866943359,0.7637,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
630,0.9830937353811006,0.6439555798469642,0.7365337463378906,0.7584,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
640,0.9745468851242655,0.6471528660862761,0.7205650527954102,0.7611,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
650,0.9660162117443803,0.6503328758547626,0.7081814239501953,0.7701,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
660,0.957769561218693,0.6534222944133549,0.7278297912597657,0.7604,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
670,0.9499418997691077,0.6562996356161824,0.7432894943237305,0.7576,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
680,0.9422880636002932,0.6591123538617325,0.7487932556152344,0.7611,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
690,0.9345054822090345,0.6620036305877014,0.7104527648925781,0.7727,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
700,0.9255378747887592,0.6653377320509953,0.7968454025268554,0.769,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
710,0.9168856909098936,0.6684950385887541,0.7622840301513671,0.7699,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
720,0.908451924424608,0.6715345727332028,0.7705612823486329,0.7683,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
730,0.9003100839214419,0.6744290156551577,0.787015461730957,0.7574,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
740,0.8931012155441242,0.6770361751639518,0.7735050430297852,0.7562,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
750,0.88622615792711,0.6795788979336256,0.7372621871948242,0.7685,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
760,0.879154082199081,0.6821472708547889,0.7592238464355469,0.7621,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
770,0.8721895341200421,0.6846818459036389,0.7646680389404297,0.767,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
780,0.8655085396962833,0.6871437888821995,0.7377962310791015,0.7757,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
790,0.8586002436283087,0.6896556850618458,0.7580162689208985,0.7746,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
800,0.850509388802233,0.6926406396805512,0.8342586334228516,0.7751,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
810,0.8429919712100278,0.6953849945870708,0.7881328063964844,0.7743,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
820,0.8356660481552592,0.6980264665444547,0.8011031372070313,0.7747,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
830,0.8285011792521155,0.7006937632055539,0.8186100769042969,0.7603,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
840,0.8216870036226154,0.7031902400835073,0.8508801025390625,0.7625,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
850,0.8149784595573543,0.70560252726201,0.8231825592041015,0.7684,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
860,0.8086266011355606,0.7079312918729974,0.7863227020263672,0.7772,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
870,0.8022504352095352,0.7102491541894616,0.7673772186279297,0.7753,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
880,0.7962673641391333,0.7124630835468261,0.7943075042724609,0.7783,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
890,0.7903008923520342,0.714644264949143,0.8305367584228516,0.7624,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
900,0.7834486451220514,0.7171523161521596,0.8765676910400391,0.7752,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
910,0.7767133236308887,0.7196137231955392,0.8879671752929688,0.775,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
920,0.7701778843036545,0.7220151159227862,0.8716914031982422,0.7803,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
930,0.7634594260841318,0.7244952514060553,0.8877857849121094,0.7799,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
940,0.7573372730430146,0.726732999033752,0.9076843994140625,0.7683,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
950,0.751474638758343,0.7288493554874229,0.8438161895751953,0.7699,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
960,0.7457249211949228,0.7309643428049457,0.9133585723876954,0.7706,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
970,0.7400615898157942,0.7330295741452233,0.9263065155029296,0.7665,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
980,0.7346535639936346,0.7349893708842146,0.8861080474853515,0.763,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
990,0.7284861106101821,0.7372575311689133,0.9745985107421875,0.7672,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1000,0.7222466780035338,0.7395330806340454,1.003654653930664,0.7741,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1010,0.7162349300736212,0.7416956144159792,0.9997719879150391,0.7735,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1020,0.7105039631359027,0.7437638197899392,0.9431506927490234,0.7745,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1030,0.705084230228973,0.7457347484946171,0.9851047332763672,0.7744,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1040,0.6996758477593479,0.7476865098488042,1.0036348388671874,0.7642,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1050,0.6945949710821537,0.7495525326651155,0.980379248046875,0.7627,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1060,0.6895519614106945,0.7513906536256723,0.9966329467773437,0.7729,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1070,0.6847354658739704,0.7531028628300451,0.9701466888427734,0.7657,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1080,0.6802661354210963,0.7547104812741144,0.8905699951171875,0.7767,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1090,0.6750003461410697,0.7566216837687908,0.9694569976806641,0.7743,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1100,0.66980610802765,0.7585194098715502,0.9767790283203125,0.7836,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1110,0.664614277196063,0.7604075527080805,1.0276462646484374,0.7781,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1120,0.6597378401051921,0.7621867220497329,1.0712936462402343,0.7679,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1130,0.6549209851539943,0.7639152643397743,1.0134810913085937,0.7729,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
1140,0.6502717759884323,0.7656202769915639,1.0839778686523438,0.7746,0.8001,0.6976157928466797,0:20:7,cuda:0,0.001
