Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.302943468093872,0.09375,10.254660842895507,0.1,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
10,2.9271765405481514,0.12286931818181818,2.2092253314971924,0.1568,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
20,2.585813772110712,0.14955357142857142,1.7316004161834717,0.352,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
30,2.3946605113244828,0.18598790322580644,1.6249843036651612,0.3756,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
40,2.239415398458155,0.2263719512195122,1.341264168548584,0.4904,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
50,2.1074959250057446,0.2633272058823529,1.0485011703491212,0.6172,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
60,1.9972113038672776,0.29918032786885246,0.9736994835853576,0.6521,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
70,1.9065477142871265,0.3302706866197183,0.8965644843101501,0.6657,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
80,1.8309912122326133,0.35455246913580246,0.8751431283950806,0.6704,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
90,1.757595963530488,0.37989354395604397,0.7954291273117066,0.7066,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
100,1.7008214303762605,0.39894028465346537,0.756869651222229,0.7095,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
110,1.6483974338651777,0.4153997747747748,0.7354248279571534,0.7203,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
120,1.6061735951210843,0.4297520661157025,0.738894919538498,0.7223,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
130,1.5724012687916065,0.43994513358778625,0.6841385608673096,0.7439,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
140,1.5354132686100952,0.45176750886524825,0.6557172177314758,0.7453,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
150,1.504218152816722,0.4618170529801324,0.7783924910545349,0.7244,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
160,1.477613377645149,0.47061820652173914,0.6751038721084595,0.7458,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
170,1.4512826497094673,0.4792351973684211,0.6811066625595092,0.743,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
180,1.4268158094659036,0.48752589779005523,0.6632241067886353,0.7496,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
190,1.406706397133972,0.4933941426701571,0.7081287693023681,0.7348,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
200,1.3897552386445193,0.49930037313432835,0.6413206237792969,0.7655,0.9249,0.21798730731010438,7:35:46,cuda:1,0.001
