Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,4.609442710876465,0.0078125,4.607443623860677,0.01,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
100,4.5832594786540115,0.015663675742574257,4.5377523091634115,0.0215,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
200,4.5255792888242805,0.0232431592039801,4.449224950154623,0.03916666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
300,4.489331132328275,0.02798546209761163,4.377747934977213,0.04466666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
400,4.4540680193287825,0.03269680436477007,4.323620798746745,0.0475,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
500,4.426427550347987,0.036054092837534316,4.271800450642903,0.06516666666666666,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
600,4.396616245918123,0.0407803723736218,4.276355336507161,0.06383333333333334,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
700,4.372121876742384,0.04497012396325693,4.207262369791667,0.0705,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
800,4.345483216470516,0.04947611800515102,4.128840403238932,0.08283333333333333,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
900,4.322324412417617,0.05288127948931446,4.129624013264974,0.08416666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1000,4.298131113435934,0.05679334249313015,4.02911176554362,0.104,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1100,4.276478334664825,0.06047711657486798,4.0656171264648435,0.10016666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1200,4.253076948396531,0.06453659361823955,3.9756218668619794,0.11366666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1300,4.23250752952682,0.0676267419509851,3.9510594838460285,0.11416666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1400,4.210964954585595,0.07114011601963409,3.9301307525634765,0.12116666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1500,4.1897067949799585,0.07470115373401641,3.9341604970296222,0.12333333333333334,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1600,4.168585673048484,0.07815123589363114,3.8892773030598957,0.12966666666666668,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1700,4.148544823411842,0.08143744486915613,3.8614359232584636,0.13266666666666665,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1800,4.126976540869258,0.0849742259094696,3.744123245239258,0.15033333333333335,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
1900,4.10673338468266,0.0884644160884007,3.757790669759115,0.1565,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
2000,4.086486108457934,0.09177289342956228,3.7718360239664714,0.15016666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
2100,4.067619492291347,0.09493185943404647,3.744644292195638,0.15183333333333332,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
2200,4.053606444852214,0.09735023859569392,3.7410690612792967,0.15466666666666667,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
2300,4.035790316405481,0.10035048633374993,3.6918443247477213,0.1635,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
2400,4.0202487939100315,0.10292116911860434,3.7225982971191405,0.15933333333333333,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
2500,4.003688147055806,0.10572115985501812,3.664046722412109,0.17216666666666666,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
2600,3.9892374154593253,0.10806953658302086,3.6213604685465497,0.17683333333333334,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
2700,3.972042022904978,0.11109214424590316,3.587836659749349,0.18633333333333332,0.3195,3.016587677001953,7:57:59,cuda:0,0.01
