Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.302607297897339,0.1171875,2.3025161193847654,0.1,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
10,2.3357197371396152,0.11079545454545454,2.2916271911621093,0.1716,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
20,2.278296913419451,0.14248511904761904,2.1753340698242187,0.1801,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
30,2.2176481139275337,0.1646295362903226,2.0498102111816405,0.2157,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
40,2.173510094968284,0.1798780487804878,1.9862693481445313,0.2623,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
50,2.133148562674429,0.19684436274509803,1.8486046112060548,0.3061,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
60,2.0780679808288323,0.21631659836065573,1.849745458984375,0.3071,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
70,2.029032999361065,0.23473261443661972,1.6513886840820313,0.3692,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
80,1.9855330873418737,0.25224247685185186,1.6339592071533202,0.3806,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
90,1.9448155806614802,0.26659083104395603,1.5500371887207032,0.4091,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
100,1.907455289189914,0.27994023595156786,1.5116335510253907,0.42,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
110,1.8735066499793573,0.29269627223948036,1.475663571166992,0.4452,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
120,1.8416604696855245,0.30472999222999225,1.4912438201904297,0.4359,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
130,1.814814228385409,0.31507115522602247,1.4781997589111329,0.441,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
140,1.785550593588252,0.325955343257054,1.3797716003417968,0.4753,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
150,1.7581565159036272,0.3365613980501971,1.3452979125976563,0.4886,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
160,1.7319603233433865,0.3468318420540751,1.2968880950927735,0.5164,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
170,1.7087835023045606,0.35607031679179635,1.2569182250976563,0.5323,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
180,1.6846715685942246,0.36587528109323647,1.352492694091797,0.5076,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
190,1.6650735192016741,0.3734428782166858,1.249150942993164,0.54,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
200,1.6462380633897231,0.38078198127925117,1.2175308319091798,0.5469,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
210,1.6248828559183968,0.38924591381872214,1.1581222351074218,0.5755,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
220,1.6037135996717087,0.39781028368794324,1.144787451171875,0.5854,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
230,1.5816241193173537,0.40658073270013567,1.1157338623046875,0.5939,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
240,1.5609613564916642,0.4144424577373212,1.10650810546875,0.5949,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
250,1.5412708301520377,0.4227372034956305,1.0776519927978516,0.6131,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
260,1.5215582253409177,0.43049969987995196,1.064406414794922,0.61,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
270,1.5042576916645027,0.4374060693641619,1.0130626617431642,0.6289,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
280,1.48562866453343,0.4447324414715719,0.9962972839355468,0.6427,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
290,1.4683313061782952,0.4517088266953714,1.0404364807128905,0.6259,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
300,1.4525564604841776,0.4579643712886759,0.993882455444336,0.6482,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
310,1.4347880106080935,0.4651363544712169,0.9810193664550781,0.6489,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
320,1.419569203275898,0.47104209395448776,0.9587573059082031,0.6566,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
330,1.4035488016305746,0.4772232218960129,0.9201505432128906,0.6743,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
340,1.387060551468486,0.4836267120139719,0.8914757080078125,0.6801,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
350,1.3710617597150594,0.49003817305116526,0.8926360321044922,0.6803,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
360,1.3560049514181034,0.4959469137946002,0.8525304290771485,0.6966,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
370,1.342258026112736,0.5012775572261171,0.8794933776855469,0.6875,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
380,1.3286424764373876,0.5065589275433835,0.8152922348022461,0.7113,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
390,1.3146406343822172,0.5121804631781393,0.83297265625,0.7035,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
400,1.3019945501423569,0.5171987410071942,0.844300439453125,0.7082,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
410,1.2886591755037886,0.5223193851083308,0.8085516555786133,0.7137,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
420,1.2752354645750372,0.5276195263628239,0.803648030090332,0.7181,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
430,1.262883182871921,0.5325365507710212,0.8200462326049804,0.712,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
440,1.2501814817548442,0.5373676073357976,0.7926725860595704,0.7197,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
450,1.2382430615344244,0.5420663052543786,0.7834896896362304,0.7215,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
460,1.2268660690332516,0.5464755575197172,0.7808160614013672,0.7248,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
470,1.2157046772680418,0.5507386212403513,0.7452001922607422,0.7441,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
480,1.2046455453390996,0.5551741269220746,0.7610438690185547,0.7375,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
490,1.1943886800691559,0.5592785974324583,0.7465324554443359,0.7388,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
500,1.1825459451574538,0.5638143894348125,0.7352485244750977,0.748,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
510,1.170443901234758,0.5684328404000736,0.738752278137207,0.7446,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
520,1.159651842431241,0.572689113558404,0.7104976791381836,0.7538,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
530,1.1493307798229875,0.576588976796363,0.7335922973632812,0.7487,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
540,1.1391558080433266,0.580554267833343,0.7175858581542969,0.753,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
550,1.1291350953752708,0.5844569608010468,0.7019390747070312,0.7552,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
560,1.1191754572123878,0.5882340615745656,0.7056484268188477,0.7576,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
570,1.1099603797128172,0.5917686776088269,0.7003645462036133,0.7539,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
580,1.1003561308515517,0.595413901925878,0.6943527130126953,0.7614,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
590,1.0915574415162985,0.5987610102939616,0.7092399200439453,0.759,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
600,1.0820323415057813,0.6023916049253887,0.6772330123901367,0.7654,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
610,1.0726455227741163,0.6059735194498614,0.7195371337890625,0.7587,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
620,1.0630236837727414,0.6096952943552458,0.6908197158813476,0.7655,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
630,1.0541603488215132,0.6130906538805525,0.700890641784668,0.7615,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
640,1.0455506544086106,0.6162910838305781,0.6615310302734375,0.7737,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
650,1.0369833708613132,0.6195493836078205,0.6727913711547852,0.7717,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
660,1.02866797378006,0.6226346865218628,0.686694514465332,0.7647,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
670,1.020591332334832,0.6256715406895264,0.6642720764160156,0.7751,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
680,1.012801301904029,0.6286793473257848,0.6904850387573243,0.762,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
690,1.0052523895377932,0.6315832766054005,0.7088124771118164,0.7631,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
700,0.9969229340473296,0.6346986132856184,0.6963144714355469,0.7666,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
710,0.9886501575120886,0.6377783902976847,0.6836425430297851,0.7739,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
720,0.9806489203333414,0.6407588606218744,0.6884311859130859,0.773,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
730,0.9726581518675108,0.6438263993137465,0.6937518035888672,0.7742,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
740,0.9650662195210934,0.6467315422043579,0.7062952392578125,0.7616,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
750,0.95786153243544,0.6494364433312461,0.6869275787353516,0.7765,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
760,0.9507129570973767,0.6521755921730175,0.7116819488525391,0.7705,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
770,0.9437683548668483,0.6547900996137427,0.6566648193359375,0.78,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
780,0.9369071065147503,0.6573750752558699,0.6789088104248047,0.7795,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
790,0.9298184562629267,0.6600137765620044,0.6771120681762696,0.779,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
800,0.921939389294231,0.6629932665205136,0.6984814651489257,0.7823,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
810,0.9143581729978001,0.6657927041447572,0.7033676284790039,0.779,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
820,0.9068774705700943,0.6685666819431714,0.6783685623168946,0.7871,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
830,0.8994014805406018,0.671351494114096,0.7166182693481445,0.781,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
840,0.8925598737840115,0.6739743326871458,0.6903669845581055,0.7813,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
850,0.8864021738335126,0.676314286766873,0.7604556518554687,0.7674,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
860,0.880337141187275,0.6786247451208856,0.6904643966674805,0.7775,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
870,0.8739716750278687,0.6809697127843363,0.735316567993164,0.779,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
880,0.8679782626230493,0.6832168018787361,0.6943503173828125,0.7817,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
890,0.8619944843282435,0.6854564811881885,0.6875532592773438,0.781,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
900,0.8552251742178468,0.6879654926391258,0.735477278137207,0.7838,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
910,0.8485151549622807,0.6904751660757925,0.7208896347045899,0.7884,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
920,0.8418206624257789,0.6929727130357811,0.7417570343017578,0.789,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
930,0.8354843280677768,0.6953301283130704,0.7390737854003906,0.7768,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
940,0.8293743094461211,0.6975935427981208,0.7717531677246093,0.7787,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
950,0.8234327074540804,0.6997906570401873,0.7114981048583985,0.7875,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
960,0.8173507648988583,0.7020560793397057,0.7902498748779296,0.7783,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
970,0.8117833886645197,0.7041213314822587,0.7513131210327149,0.7786,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
980,0.8066549361815317,0.7060130426443322,0.7569018341064453,0.7763,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
990,0.8003750908458529,0.7083629991772673,0.7504822174072265,0.7862,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1000,0.7940271491059145,0.7107069575841113,0.8240626831054687,0.7886,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1010,0.7879412261038145,0.7129326654674027,0.8472847381591797,0.7748,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1020,0.7819578219130777,0.7151453381241939,0.8044897583007813,0.7835,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1030,0.7761175837527515,0.7173054406666262,0.7879036026000976,0.787,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1040,0.7704086170865214,0.7194220227697127,0.753763069152832,0.7911,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1050,0.7650064258627786,0.7214348040093074,0.8125295349121093,0.7826,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1060,0.7596010843931548,0.7234169079841617,0.8223610382080078,0.7827,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1070,0.7542603188142809,0.7253801738774076,0.8298034057617187,0.7798,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
1080,0.749552606592214,0.7271166342722869,0.7671309844970703,0.7854,0.8128,0.6566648193359375,0:14:25,cuda:0,0.001
