Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3025381565093994,0.09765625,2.301519580078125,0.1,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
10,2.2850254448977383,0.1455965909090909,2.3138674072265624,0.1654,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
20,2.280395541872297,0.14434523809523808,2.251864324951172,0.1161,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
30,2.252581734811106,0.14988659274193547,2.114227081298828,0.2049,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
40,2.21007156953579,0.1659203506097561,2.025132507324219,0.2341,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
50,2.167155011027467,0.18018535539215685,2.0240185546875,0.2378,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
60,2.1285397205196444,0.1923347848360656,1.8616723358154297,0.2832,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
70,2.0853994463531063,0.2071412852112676,1.7789765563964843,0.3123,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
80,2.046174202436282,0.21928047839506173,1.7217127593994141,0.3216,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
90,2.0101598920402948,0.22988925137362637,1.6943492218017577,0.3396,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
100,1.9800955231461381,0.24088016144054641,1.7065144775390626,0.3417,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
110,1.949980218947119,0.25111197401863883,1.6303373413085938,0.3759,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
120,1.9219026731043027,0.2616711991711992,1.6246831481933595,0.3866,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
130,1.8952980972140407,0.2717202822291318,1.5407707153320314,0.4055,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
140,1.8711128760327023,0.2813819151299711,1.566724334716797,0.387,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
150,1.849861206738342,0.2893590541381456,1.5766779754638671,0.3935,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
160,1.830292956788724,0.29686588212410037,1.481038003540039,0.4375,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
170,1.80896761617781,0.3055873466398096,1.4271995849609376,0.4627,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
180,1.7873552042273704,0.3142622383670645,1.4082476196289062,0.4652,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
190,1.7658163513673797,0.322631535813801,1.3884705627441407,0.4723,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
200,1.7508022034595982,0.32884165366614665,1.4416707305908203,0.4456,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
210,1.7346745285555654,0.3352340267459138,1.4124629821777344,0.4613,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
220,1.7172372896451478,0.3421631205673759,1.3501217346191405,0.4963,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
230,1.699580882265254,0.34936397557666216,1.3036386901855468,0.5044,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
240,1.6828246911573472,0.35632314694408324,1.3579920227050781,0.481,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
250,1.66750921185097,0.36290574282147314,1.2439245910644532,0.5404,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
260,1.6514254598629003,0.3694927971188475,1.2231249450683594,0.5452,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
270,1.6369839989105401,0.37571531791907514,1.2327510498046874,0.5515,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
280,1.6222865322627618,0.38170289855072465,1.2297367248535156,0.5443,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
290,1.6082202443265556,0.38776237890204523,1.2508864807128905,0.5457,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
300,1.5942786844934893,0.3939212417960204,1.173840789794922,0.5673,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
310,1.5797937358383547,0.3999899183385422,1.2051236999511719,0.5617,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
320,1.5666245049663745,0.40541678874890125,1.1567163391113282,0.5817,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
330,1.5533890450065115,0.41078700634529786,1.1515119506835938,0.5763,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
340,1.541808981921307,0.41558277415203604,1.1061628509521484,0.5941,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
350,1.529055398940529,0.4210867041700152,1.1341840209960938,0.5872,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
360,1.5178291901334187,0.4258399166594322,1.1377005310058594,0.5889,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
370,1.5057467589437563,0.43082185995438804,1.0760863403320313,0.6078,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
380,1.4945342798591474,0.435397647832881,1.0759411102294922,0.6059,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
390,1.4838819104095369,0.4398038705024441,1.0372158233642579,0.6239,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
400,1.4727161830762494,0.44439122614951515,1.0346075225830078,0.6253,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
410,1.4608323215383343,0.4491102761672261,1.050299459838867,0.6184,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
420,1.4501973062105609,0.4534601206434316,1.0235727752685546,0.6291,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
430,1.4394317655532833,0.4577211230724469,1.030874969482422,0.6246,0.8192,0.598155746459961,0:14:27,cuda:0,0.001
