Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,6.393438816070557,0.0,6.198058498216712,0.0004347826086956522,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
10,3.3940220421010796,0.4772727272727273,0.44606535206670345,0.8991304347826087,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
20,1.9346925445965357,0.6860119047619048,0.25327907728112264,0.9043478260869565,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
30,1.3812549936194574,0.7619707661290323,0.20022047457487688,0.9282608695652174,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
40,1.090664513954302,0.8044016768292683,0.17884284807288128,0.931304347826087,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
50,0.9103614819400451,0.8303462009803921,0.17260023034137228,0.938695652173913,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
60,0.7878726053921903,0.8483606557377049,0.16340745179549507,0.9408695652173913,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
70,0.7004822477908201,0.859650088028169,0.1612584470665973,0.9308695652173913,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
80,0.6353955923992655,0.8681159420289855,0.16120182534922725,0.9334782608695652,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
90,0.595222991720316,0.8701633705932932,0.26039729076883067,0.8956521739130435,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
100,0.5579523003812357,0.8738187451587917,0.20851483718208644,0.9004347826086957,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
110,0.524873950869538,0.8784355179704016,0.18726994887642237,0.9282608695652174,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
120,0.4962178409677517,0.8827084680025856,0.18294021606445313,0.9304347826086956,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
130,0.47181703561811306,0.8862089552238805,0.19239325979481572,0.92,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
140,0.4504652330099181,0.8898502495840266,0.1739674709154212,0.9330434782608695,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
150,0.4322057805982419,0.8927239772138789,0.18350728574006453,0.9182608695652174,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
160,0.4164259575709027,0.8944633317144245,0.16197016011113705,0.938695652173913,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
170,0.4042099266289661,0.8960735859417902,0.19496871118960174,0.9269565217391305,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
180,0.3925077067966715,0.897652602455473,0.18820698945418649,0.922608695652174,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
190,0.38192898129784003,0.8989021792561036,0.18163710884425951,0.9321739130434783,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
200,0.3720565061229199,0.9004748559862993,0.18128684499989386,0.9265217391304348,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
210,0.36289275479249533,0.901824113895892,0.19160375678020974,0.9221739130434783,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
220,0.3546125233620637,0.9030688092878381,0.18900319472603175,0.9221739130434783,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
230,0.3471583965492171,0.9039685764594338,0.16854077878205673,0.9347826086956522,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
240,0.33961209386691604,0.9053453200051927,0.17879456395688265,0.9230434782608695,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
250,0.3338528124852141,0.9059674502712477,0.19081152045208474,0.92,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
260,0.3280161571508404,0.9068927265095641,0.1856630341903023,0.9204347826086956,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
270,0.32231779826006135,0.9076196800831553,0.18218707209048063,0.9278260869565217,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
280,0.31748723614658647,0.9081555939188061,0.18370680269987688,0.918695652173913,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
290,0.3128713007389156,0.9087352798838523,0.1723683149918266,0.9330434782608695,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
300,0.30798614499176924,0.9095882933929407,0.1821351888905401,0.9243478260869565,0.9508695652173913,0.11961690653925357,1:44:30,cuda:2,0.001
