Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3175954818725586,0.09765625,3.156904262542725,0.1,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
100,1.8106325392675873,0.35550742574257427,1.1453907133102417,0.6317,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
200,1.6078835684268629,0.4465174129353234,1.0305085983276367,0.6757,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
300,1.4806625853961972,0.5017166042446941,0.8847894669532775,0.7662,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
400,1.6535878860314042,0.4324851701529816,1.6354584419250489,0.3897,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
500,1.6328316494606328,0.441251875937969,0.9207848684310913,0.7235,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
600,1.5985914350997015,0.4562513026260942,0.9786735500335694,0.7172,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
700,1.5437810501059108,0.47859168453018935,0.8660186357498169,0.7539,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
800,1.4892913171164628,0.5013295792272798,0.7604986051559448,0.8056,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
900,1.4505180387458498,0.5177863895453914,0.8125237446784973,0.7747,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1000,1.4079619611151288,0.5354437906860291,0.7302223804473877,0.8196,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1100,1.3711034275208163,0.5511848543468366,0.7480326891899108,0.8033,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1200,1.3373844422540722,0.5653990138787436,0.743062672996521,0.8233,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1300,1.3086961445913579,0.577346985456997,0.6819875302314758,0.8409,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1400,1.2808239083911357,0.5887926987391576,0.6812747009277343,0.8361,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1500,1.2553246304315684,0.5994766446819169,0.6446857719421387,0.8581,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1600,1.2343817103504295,0.6081277390827986,0.6600609223365783,0.8446,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1700,1.2137915570444517,0.6166493221837471,0.6293419903755187,0.8609,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1800,1.1954491441520065,0.6243477353370904,0.6542053435325622,0.8509,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
1900,1.1784879951914655,0.6314135845200421,0.6724339806556702,0.8487,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2000,1.1631178817971197,0.6377990355711423,0.6347337940216065,0.8621,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2100,1.1482705970415632,0.6438472835162213,0.6223532238006592,0.8651,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2200,1.1342866691025069,0.6496523230655356,0.6035193665504456,0.872,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2300,1.1217055835151557,0.6547898627675216,0.6268795665740967,0.8611,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2400,1.1094691929233287,0.6597684387723144,0.6014765684127807,0.8756,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2500,1.098561893485211,0.6642887563884157,0.6116694395065307,0.8693,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2600,1.0877866535331981,0.6688596227051511,0.6616985290527344,0.8474,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2700,1.078205650004191,0.6729124135851158,0.592425906085968,0.8744,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2800,1.0687903993663994,0.6768135149644343,0.5906418416976928,0.8702,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
2900,1.0597077075714518,0.680613605927078,0.5814729906082153,0.8828,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3000,1.0515686330819978,0.6840419868047436,0.6049286492347717,0.8701,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3100,1.0435162738103496,0.6874153801075051,0.5704042823791504,0.8839,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3200,1.0362067626104403,0.6903823943937674,0.6065195382118225,0.8706,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3300,1.0291110815423634,0.693258077682436,0.6509584882736206,0.842,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3400,1.021928262768555,0.6961859293241949,0.6110757594108581,0.8636,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3500,1.0151716513728966,0.6989181401675137,0.5910954007148743,0.8751,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3600,1.008677998068056,0.7016714231023562,0.5560798471450805,0.8901,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3700,1.0027101807463032,0.7041519232722717,0.5663951663970948,0.8863,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3800,0.9966856861249717,0.7066695792666843,0.5585728235244751,0.8907,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
3900,0.9909655180099353,0.7089527515420201,0.5744321292877197,0.8803,0.9378,0.4397785437583923,1:38:14,cuda:1,0.001
