Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3235366344451904,0.125,2.418888916015625,0.1,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
10,2.3323110233653677,0.09801136363636363,2.288226416015625,0.1,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
20,2.2619701340084983,0.14118303571428573,1.9460051025390626,0.2981,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
30,2.0813661390735256,0.20217993951612903,1.4369884216308593,0.4701,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
40,1.8959858330284678,0.2711985518292683,1.205402133178711,0.5259,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
50,1.7398237153595568,0.3265165441176471,1.0347798858642578,0.5666,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
60,1.617771273753682,0.37112576844262296,0.9453629699707031,0.5947,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
70,1.5174450429392532,0.40999119718309857,0.8892130142211914,0.6408,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
80,1.4343508452544977,0.44367283950617287,0.8241761444091796,0.6721,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
90,1.3629935501695989,0.47250600961538464,0.7618221008300782,0.7162,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
100,1.3006445010109704,0.4978341584158416,0.7432741470336914,0.7195,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
110,1.247126906304746,0.5184755067567568,0.7040155059814454,0.7425,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
120,1.2055204424830817,0.5348901456058243,0.665423779296875,0.7531,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
130,1.1630337748227644,0.5514132261161786,0.638347117614746,0.7601,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
140,1.1242008350068737,0.5662756353098529,0.6165209228515625,0.7658,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
150,1.0885965396997783,0.5802382438618394,0.6016665115356445,0.7732,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
160,1.0573435622735086,0.5923356418259852,0.5919301010131836,0.7694,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
170,1.0291912240050445,0.6033671502019831,0.5711441116333008,0.7835,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
180,1.0020767829916852,0.6140522025667707,0.5763181884765625,0.7787,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
190,0.978301086552708,0.6231412257640486,0.5660751892089844,0.7819,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
200,0.955219815196449,0.6322295504214799,0.550371548461914,0.7901,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
210,0.9351817815388167,0.6401650312221231,0.5343354370117187,0.7971,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
220,0.9157822846418885,0.6478409736020437,0.5316994567871094,0.7991,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
230,0.8983152867852428,0.6547057426011403,0.5467367378234863,0.7865,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
240,0.8837928923863344,0.6600032637075718,0.5426844299316407,0.7861,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
250,0.8696435413264989,0.665562343358396,0.528397176361084,0.7906,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
260,0.8546739716127695,0.6713855421686747,0.5091859085083008,0.8002,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
270,0.8403686014516171,0.6769866589327146,0.5046160781860352,0.8188,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
280,0.8275072742095196,0.6822007829977629,0.4987083869934082,0.8174,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
290,0.8153615996853064,0.6870815334773218,0.49120499496459963,0.8169,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
300,0.8035632737743083,0.6916818893528184,0.48423066711425783,0.8186,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
310,0.7919093156101727,0.696294191919192,0.4817570915222168,0.8231,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
320,0.781429231516769,0.7006054305283758,0.4738020118713379,0.8223,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
330,0.7714216292017552,0.7046726755218217,0.46996216888427733,0.8231,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
340,0.7613669535073128,0.7085923112338858,0.46310636138916017,0.8276,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
350,0.7527080266334929,0.7120583631484795,0.45815519104003904,0.8319,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
360,0.7447481153733185,0.7152366219278369,0.48160228729248045,0.8172,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
370,0.7365287885395818,0.7184744361539765,0.47099835052490235,0.8238,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
380,0.7280023564437406,0.7219642562324583,0.45718615264892576,0.8268,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
390,0.7203150055541551,0.7249175647418369,0.44440441131591796,0.8353,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
400,0.7128397169318041,0.7278843892112279,0.44388633422851564,0.836,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
410,0.7053299696415922,0.7308207128652286,0.43090193252563475,0.8431,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
420,0.6982027760580153,0.733570068687472,0.4562597625732422,0.8296,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
430,0.691492235832665,0.7363187253901123,0.44040528259277345,0.8393,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
440,0.6853838691994116,0.738835150349152,0.45691166610717776,0.8315,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
450,0.6800881067956077,0.7409171659467744,0.46492157135009765,0.8243,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
460,0.6743688539180311,0.7430957816546272,0.4263830863952637,0.8409,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
470,0.6690643342221532,0.7451605642256903,0.4440090148925781,0.8351,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
480,0.6639649171844195,0.7471750719518576,0.43583808364868165,0.8393,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
490,0.6587952186607936,0.7492151460789339,0.4235051208496094,0.8427,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
500,0.653505743837189,0.7512164113510799,0.4226472671508789,0.8414,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
510,0.6482702678556457,0.753215780403742,0.41109699478149414,0.8459,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
520,0.6431453316065495,0.7552171354418156,0.410531103515625,0.8453,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
530,0.638313338576985,0.757172252486973,0.4079700782775879,0.8467,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
540,0.6337634737355273,0.7588875813575081,0.40107169342041016,0.8476,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
550,0.6289351025110834,0.7607007359653126,0.4048980865478516,0.8472,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
560,0.624539145970227,0.7625679347826086,0.4037989875793457,0.8511,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
570,0.6200298049385881,0.7643521576398062,0.3955108688354492,0.8504,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
580,0.6155135545932798,0.7661422273907399,0.4138934829711914,0.8464,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
590,0.611831858482824,0.7674868224896177,0.3988459350585937,0.8518,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
600,0.6076607222258015,0.7691243063553554,0.41217164840698245,0.8489,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
610,0.6036405133582354,0.7707528833281845,0.4018615447998047,0.8487,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
620,0.599734567856791,0.772325498936278,0.3929266235351562,0.8515,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
630,0.5959449194088711,0.7737295633536039,0.38519591598510744,0.8576,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
640,0.5921071462502085,0.7751907320184477,0.3891735664367676,0.8538,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
650,0.588724198899699,0.7764859675393682,0.41006359634399414,0.8487,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
660,0.5853531711415235,0.7777982589667967,0.3931266586303711,0.8537,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
670,0.5817921823999918,0.7792029800393591,0.38685276107788086,0.8529,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
680,0.5785073533457475,0.7804277075062321,0.3848816276550293,0.8558,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
690,0.575381708008481,0.781665112364662,0.37930777587890624,0.8585,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
700,0.5721542901623335,0.7828810196394942,0.4048987533569336,0.8467,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
710,0.5691683771737298,0.7839938484687555,0.3976104881286621,0.8508,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
720,0.5662692075396608,0.7850928390644092,0.37236752243041993,0.8594,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
730,0.5634899018224945,0.7861508004820107,0.37603233795166013,0.8579,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
740,0.5605767313198032,0.7872596153846154,0.36984994201660154,0.8611,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
750,0.5574561824129941,0.7884774459708493,0.37676890716552736,0.8555,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
760,0.5546256519877472,0.789518412134237,0.36345174255371093,0.8612,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
770,0.5516360927063794,0.7906902635013868,0.3725605308532715,0.8587,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
780,0.5489669292997212,0.7917438395876952,0.37233812408447264,0.8622,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
790,0.5460027551912583,0.7928998052154556,0.367790975189209,0.8615,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
800,0.5431786470593641,0.7939997448579055,0.36642768783569335,0.8629,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
810,0.5403804818887751,0.7950942006512638,0.3631989166259766,0.8601,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
820,0.5379528433956328,0.7960134591821106,0.36894026870727537,0.862,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
830,0.5356922458401687,0.7968406853464597,0.38078350143432615,0.8597,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
840,0.5332517068037325,0.7978184624017958,0.36294131469726565,0.8647,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
850,0.5308194066680514,0.7987707948243993,0.36299355545043943,0.8609,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
860,0.5284543306408549,0.7997214103032517,0.3487921493530273,0.8693,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
870,0.5260520841378776,0.800674882629108,0.3754641296386719,0.8593,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
880,0.5238418613830153,0.8014860764012852,0.35817345504760745,0.866,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
890,0.5216845862822528,0.8023340981291917,0.3537962356567383,0.8684,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
900,0.5193917001188322,0.8032373472949389,0.3519640121459961,0.8672,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
910,0.5170344768823077,0.8041767345529859,0.3468961524963379,0.8686,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
920,0.5147795336610346,0.8050742574257426,0.3601409553527832,0.865,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
930,0.5127811259894869,0.8058426207362378,0.3538702377319336,0.8695,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
940,0.5105931701685648,0.8066864350150351,0.35060948104858397,0.8679,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
950,0.5086751921016618,0.8074047114875595,0.35500095291137695,0.8646,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
960,0.5065592532385201,0.8082295213462546,0.34964721069335936,0.8685,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
970,0.5044280289985653,0.809008877656817,0.344130549621582,0.8722,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
980,0.5022640221543407,0.8098083151616213,0.35765626678466794,0.8679,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
990,0.5003227544593715,0.8105419153123413,0.34351986007690427,0.8682,0.903,0.27659070205688474,0:3:11,cuda:0,0.01
1000,0.49847750830973975,0.8112607623177476,0.33996432495117185,0.8738,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1010,0.4962542123198806,0.8120664043056247,0.3502737518310547,0.867,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1020,0.4945689231348249,0.8127059974125185,0.33367336807250975,0.8752,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1030,0.4927221794806788,0.8134665538067349,0.3411213676452637,0.8728,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1040,0.49095129844300006,0.8141274468342194,0.3400360153198242,0.8712,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1050,0.4891784767062542,0.814826172809957,0.3374217674255371,0.8732,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1060,0.4872917229810446,0.81551905523945,0.32848400344848633,0.8769,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1070,0.4855489478253318,0.81615951289735,0.32840540084838865,0.8752,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1080,0.4837495792286104,0.8168803480994237,0.333637671661377,0.8756,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1090,0.48199629785005416,0.8175410202433819,0.32992025451660156,0.8788,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1100,0.48022126145986593,0.818225327161552,0.3324603370666504,0.8768,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1110,0.4785382411198989,0.8188600713517187,0.33661042251586915,0.8745,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1120,0.4769131042946736,0.8194956927998204,0.3320075256347656,0.8735,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1130,0.4750105172496821,0.8202399326992602,0.3294183647155762,0.8749,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1140,0.47334257417703335,0.8209090219968025,0.33643654708862303,0.8761,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1150,0.47173664641384216,0.8215578720148642,0.321939892578125,0.8774,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1160,0.47011181551183484,0.8221717725770626,0.32667646560668945,0.8754,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1170,0.4686605820332365,0.8227264487888716,0.33130296630859374,0.8792,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1180,0.4673857809790134,0.8231892118725355,0.3263622131347656,0.8778,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1190,0.4658090421579787,0.823831963964916,0.3297964500427246,0.8793,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1200,0.46447003241868484,0.8243460520800587,0.3357250701904297,0.8753,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1210,0.4629363819986201,0.8249279070975787,0.3256397621154785,0.8775,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1220,0.4613746422155117,0.8255291533546326,0.32428295059204104,0.8813,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1230,0.45974409619833106,0.8261748696718798,0.32126833724975584,0.8822,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1240,0.4583483724641012,0.8266722853087296,0.3234403694152832,0.8798,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1250,0.45697947136775285,0.8272386980790506,0.32838760147094725,0.8773,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1260,0.45564193538500025,0.8277508605208022,0.3224594337463379,0.8817,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1270,0.45427801010691976,0.828247179055726,0.32379378204345705,0.8793,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1280,0.45292672612373713,0.8287817318079151,0.32741435165405275,0.8782,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1290,0.45161103164430694,0.8292927262983533,0.315526993560791,0.8811,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1300,0.45030520486248105,0.8297809945339332,0.32399828109741213,0.881,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1310,0.4490263126978281,0.830269284308549,0.3220676666259766,0.8821,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1320,0.44766462343812236,0.8308394464821607,0.32513562088012693,0.8803,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1330,0.4463428887093269,0.8313197300619297,0.324478385925293,0.8795,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1340,0.44510257433721845,0.831770808895979,0.31992724761962893,0.8802,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1350,0.443771938293241,0.8322762888278303,0.3234275405883789,0.8779,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1360,0.44256270973834383,0.832745400545463,0.32052989196777343,0.8814,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1370,0.44136725332816507,0.8332176616344698,0.3149525001525879,0.8809,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1380,0.44026523097329373,0.8336460278777388,0.3190906753540039,0.8799,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1390,0.439168738212632,0.8340837403337403,0.3236252746582031,0.8803,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1400,0.43800288396782316,0.8345376128047411,0.3182051666259766,0.8819,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1410,0.43690189289429204,0.8349877969954977,0.3169983757019043,0.8825,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1420,0.4359110201429328,0.8353783768821966,0.32814794540405273,0.8788,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1430,0.4348462205658697,0.8357767150395778,0.32677616806030274,0.8794,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1440,0.43385687648989746,0.8361572052401747,0.3203289390563965,0.881,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1450,0.4326851233025788,0.8365906873373807,0.31234492416381837,0.8845,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1460,0.4317182402586136,0.8369455211024979,0.32237273635864255,0.8793,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1470,0.43057807786939895,0.8373623289136014,0.3149529220581055,0.8827,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1480,0.4295097889491027,0.8377509027187765,0.31782578353881835,0.8826,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1490,0.42844250417459867,0.8381381856540084,0.33129638748168944,0.8765,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1500,0.427472880440206,0.8384901508801341,0.3199680595397949,0.879,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1510,0.4263589944073203,0.8389193900915903,0.3165014221191406,0.8823,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1520,0.42528726253951254,0.839344241108354,0.3144904693603516,0.8826,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1530,0.4242776836835662,0.8397429642563681,0.3110334602355957,0.885,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1540,0.42333900019591597,0.8401217993220893,0.3166086944580078,0.8833,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1550,0.4223338155885369,0.8405105083783017,0.3183132141113281,0.8782,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1560,0.421381840861761,0.8408513725964446,0.315822318649292,0.8818,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1570,0.4203849878634689,0.8412229142468057,0.32042175369262693,0.8784,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1580,0.41944245855261814,0.8415648505591594,0.31423877029418945,0.8818,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1590,0.4184425695655175,0.8419444773994542,0.31231174507141113,0.8833,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1600,0.41738493376857155,0.842377048375054,0.3101270698547363,0.8864,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1610,0.4164760012486429,0.8427334322646152,0.31102100143432615,0.885,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1620,0.4155588386805236,0.8430659855629293,0.30892492446899417,0.8851,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1630,0.41477017990810006,0.8433751494580939,0.31802840118408204,0.8804,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1640,0.41393023824602204,0.843724843791927,0.3195183883666992,0.882,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1650,0.41301183034366584,0.8440786089838839,0.31031152877807616,0.8851,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1660,0.41220771872546536,0.8443597503220429,0.3111113651275635,0.8846,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1670,0.4112025698040986,0.8447656191157641,0.3147197624206543,0.8825,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1680,0.41022400961509853,0.8451443999401063,0.309906298828125,0.8842,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1690,0.409474866778987,0.84544657475627,0.3147592525482178,0.8821,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1700,0.4085574765225491,0.8458018143818895,0.3124696235656738,0.8859,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1710,0.4077841823501009,0.846102311171582,0.3104661357879639,0.8842,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1720,0.40690028842642373,0.8464552716238941,0.3151426803588867,0.8806,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1730,0.406127097024867,0.8467609671439994,0.3095798545837402,0.8847,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1740,0.40534247753807445,0.8470710323769604,0.32149993515014647,0.8823,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1750,0.40463942015677284,0.8473517101386793,0.3149483833312988,0.8826,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1760,0.4038052408322357,0.8476727155819104,0.3081951072692871,0.8874,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1770,0.4030646721838312,0.8479498329839025,0.30486778678894044,0.8862,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1780,0.4023200157341496,0.8482198067206106,0.31808227310180665,0.8853,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1790,0.4015094197385741,0.8485328607568251,0.3094596420288086,0.8849,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1800,0.40077365617624455,0.8488183938366933,0.3148057865142822,0.8826,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1810,0.3999828763992409,0.8491061811611827,0.3085472648620605,0.8872,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1820,0.39922207756002276,0.8493843077295187,0.31580509185791017,0.8832,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1830,0.3984545188271128,0.849691591354249,0.3111231716156006,0.8863,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1840,0.3977249508525582,0.8499624072998189,0.3087124397277832,0.8856,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1850,0.39698456072441834,0.8502302776928045,0.31396772232055664,0.8841,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1860,0.3962683806590725,0.8505227172847436,0.3053287914276123,0.8876,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1870,0.3954355063962213,0.8508445832352645,0.3055970718383789,0.8876,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1880,0.3947278270035387,0.8511211999598676,0.3072956962585449,0.8877,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1890,0.3940785487794394,0.8513711395101171,0.3086983127593994,0.8833,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1900,0.3933936048898909,0.8516328456038136,0.3065103355407715,0.8893,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1910,0.3926851174649876,0.851893852081138,0.31710217819213865,0.8804,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1920,0.39199560711187637,0.8521664537473794,0.31470392417907717,0.8846,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1930,0.3912868003930986,0.8524301029718456,0.3030780776977539,0.8898,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1940,0.39061510266110117,0.8526758217712656,0.3098468200683594,0.8883,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1950,0.3899589471434415,0.8529139657507739,0.30692042236328126,0.8875,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1960,0.389275249208513,0.8531787410164271,0.30755957489013674,0.8892,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1970,0.3885970421904076,0.8534537793667007,0.31090795974731444,0.888,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1980,0.3879648868251986,0.8537160981961383,0.31021455879211424,0.8833,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
1990,0.3873265856091607,0.8539441670879676,0.31286107635498045,0.8805,0.903,0.27659070205688474,0:3:11,cuda:0,0.005
2000,0.38663603145801567,0.8542082573566399,0.3053818202972412,0.8871,0.903,0.27659070205688474,0:3:11,cuda:0,0.0025
2010,0.38607748410564097,0.854433969644813,0.3016032440185547,0.8895,0.903,0.27659070205688474,0:3:11,cuda:0,0.0025
2020,0.3854228734821615,0.8546833644714308,0.29640507774353025,0.8919,0.903,0.27659070205688474,0:3:11,cuda:0,0.0025
