Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3014895915985107,0.125,2.3036159057617187,0.1138,0.914,0.259790283203125,0:10:46,cuda:0,0.1
10,2.302281704815951,0.10404829545454546,2.3002159912109374,0.1,0.914,0.259790283203125,0:10:46,cuda:0,0.1
20,2.2994675863356817,0.1209077380952381,2.286534265136719,0.1621,0.914,0.259790283203125,0:10:46,cuda:0,0.1
30,2.2833220343435965,0.15064264112903225,2.101758563232422,0.3166,0.914,0.259790283203125,0:10:46,cuda:0,0.1
40,2.2234950385442596,0.20579268292682926,1.9527750183105468,0.3026,0.914,0.259790283203125,0:10:46,cuda:0,0.1
50,2.1077369778764012,0.23828125,1.4924528259277343,0.5039,0.914,0.259790283203125,0:10:46,cuda:0,0.1
60,1.9747071344344342,0.2777920081967213,1.0764102630615235,0.5566,0.914,0.259790283203125,0:10:46,cuda:0,0.1
70,1.8376989666844759,0.32303587147887325,0.9478030471801758,0.6319,0.914,0.259790283203125,0:10:46,cuda:0,0.1
80,1.7186967421461035,0.36378761574074076,0.8411958389282227,0.6764,0.914,0.259790283203125,0:10:46,cuda:0,0.1
90,1.6170863201329997,0.399660885989011,0.7552416046142578,0.7151,0.914,0.259790283203125,0:10:46,cuda:0,0.1
100,1.5266846719354685,0.4324721534653465,0.7130747131347657,0.7254,0.914,0.259790283203125,0:10:46,cuda:0,0.1
110,1.452290654182434,0.45908994932432434,0.6900834365844727,0.7381,0.914,0.259790283203125,0:10:46,cuda:0,0.1
120,1.3906195313745777,0.48098673946957876,0.6605305938720704,0.7291,0.914,0.259790283203125,0:10:46,cuda:0,0.1
130,1.3314507072840638,0.5018602976476236,0.6270130981445312,0.7654,0.914,0.259790283203125,0:10:46,cuda:0,0.1
140,1.2782893876013244,0.5210934016941596,0.5937061111450195,0.7683,0.914,0.259790283203125,0:10:46,cuda:0,0.1
150,1.2304811926122214,0.5386886183936745,0.6222853973388672,0.7516,0.914,0.259790283203125,0:10:46,cuda:0,0.1
160,1.1892271927451417,0.5540748146703083,0.5726563568115235,0.779,0.914,0.259790283203125,0:10:46,cuda:0,0.1
170,1.1526826805285657,0.5679627249357326,0.5756936798095703,0.7851,0.914,0.259790283203125,0:10:46,cuda:0,0.1
180,1.1197485538394014,0.5804608914325355,0.5611936767578125,0.7832,0.914,0.259790283203125,0:10:46,cuda:0,0.1
190,1.0885920758079706,0.5922095793624712,0.5252245315551758,0.7958,0.914,0.259790283203125,0:10:46,cuda:0,0.1
200,1.0590069850012915,0.6029893849516079,0.5265775390625,0.7988,0.914,0.259790283203125,0:10:46,cuda:0,0.1
210,1.0319888101884591,0.6130501040737437,0.5051531860351562,0.8108,0.914,0.259790283203125,0:10:46,cuda:0,0.1
220,1.0077922037640588,0.6221260289525972,0.5091611312866211,0.8146,0.914,0.259790283203125,0:10:46,cuda:0,0.1
230,0.9843369568620982,0.6307188433342384,0.5006743721008301,0.8149,0.914,0.259790283203125,0:10:46,cuda:0,0.1
240,0.9657460777940078,0.6379161227154047,0.5055747817993164,0.8079,0.914,0.259790283203125,0:10:46,cuda:0,0.1
250,0.9454239009914541,0.6455278822055138,0.4804491836547852,0.8224,0.914,0.259790283203125,0:10:46,cuda:0,0.1
260,0.926003265955362,0.6530045180722892,0.45387258377075196,0.829,0.914,0.259790283203125,0:10:46,cuda:0,0.1
270,0.9078819409877131,0.6597230278422274,0.46295785217285157,0.8277,0.914,0.259790283203125,0:10:46,cuda:0,0.1
280,0.8908170998763185,0.6661703020134229,0.4677194000244141,0.8238,0.914,0.259790283203125,0:10:46,cuda:0,0.1
290,0.8745090718403233,0.6723677105831534,0.4496345878601074,0.8311,0.914,0.259790283203125,0:10:46,cuda:0,0.1
300,0.8592519330082458,0.6780271398747391,0.4508839424133301,0.8297,0.914,0.259790283203125,0:10:46,cuda:0,0.1
310,0.8454368246444548,0.6830808080808081,0.44011307220458984,0.8375,0.914,0.259790283203125,0:10:46,cuda:0,0.1
320,0.8314682265317137,0.6885151663405088,0.46006958770751955,0.8298,0.914,0.259790283203125,0:10:46,cuda:0,0.1
330,0.8195105321040869,0.6929969165085389,0.4457469970703125,0.8405,0.914,0.259790283203125,0:10:46,cuda:0,0.1
340,0.8075074740316767,0.6975598526703499,0.42307149276733397,0.8449,0.914,0.259790283203125,0:10:46,cuda:0,0.1
350,0.795899733917018,0.7020572450805009,0.4360509414672852,0.8411,0.914,0.259790283203125,0:10:46,cuda:0,0.1
360,0.7858638935893675,0.7058948492243333,0.4224466896057129,0.8438,0.914,0.259790283203125,0:10:46,cuda:0,0.1
370,0.7749137133284102,0.7100379430218755,0.4210963668823242,0.8454,0.914,0.259790283203125,0:10:46,cuda:0,0.1
380,0.7645466249729513,0.713889920752848,0.4016696243286133,0.8523,0.914,0.259790283203125,0:10:46,cuda:0,0.1
390,0.7550528929205556,0.7175184976676854,0.42590772094726564,0.8438,0.914,0.259790283203125,0:10:46,cuda:0,0.1
400,0.7458584788676731,0.7210826015367727,0.4382144676208496,0.8358,0.914,0.259790283203125,0:10:46,cuda:0,0.1
410,0.7374013212089311,0.7242714547957779,0.41335956192016604,0.8481,0.914,0.259790283203125,0:10:46,cuda:0,0.1
420,0.729301673112493,0.7273545990742123,0.41358757400512697,0.847,0.914,0.259790283203125,0:10:46,cuda:0,0.1
430,0.7207175527488905,0.7305900904185504,0.38465841369628906,0.8586,0.914,0.259790283203125,0:10:46,cuda:0,0.1
440,0.7124169304344717,0.733753740914921,0.3892924247741699,0.856,0.914,0.259790283203125,0:10:46,cuda:0,0.1
450,0.7038847485574588,0.7369809809112442,0.38371646575927737,0.8584,0.914,0.259790283203125,0:10:46,cuda:0,0.1
460,0.6967555930995643,0.7396841352051247,0.38843609771728516,0.8559,0.914,0.259790283203125,0:10:46,cuda:0,0.1
470,0.6894976411864998,0.7424261371215153,0.3882224365234375,0.8594,0.914,0.259790283203125,0:10:46,cuda:0,0.1
480,0.6831435304484026,0.7447875784929356,0.3881313056945801,0.8566,0.914,0.259790283203125,0:10:46,cuda:0,0.1
490,0.6766915086108803,0.747176928498206,0.39667807388305665,0.8524,0.914,0.259790283203125,0:10:46,cuda:0,0.1
500,0.6702174088992048,0.7496076092415871,0.36422540130615233,0.867,0.914,0.259790283203125,0:10:46,cuda:0,0.1
510,0.6633940790158548,0.7521694977843427,0.3568661079406738,0.8687,0.914,0.259790283203125,0:10:46,cuda:0,0.1
520,0.6572021429001105,0.7545041646547561,0.35611618347167967,0.8695,0.914,0.259790283203125,0:10:46,cuda:0,0.1
