Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3100438117980957,0.095703125,2.286797833251953,0.1743,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
10,1.7753518928181042,0.328125,1.1813502166748047,0.4911,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
20,1.4193394496327354,0.4563802083333333,0.8909948669433594,0.659,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
30,1.2278731234612004,0.5318170362903226,0.7831327224731446,0.6912,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
40,1.1008974371886835,0.5806974085365854,0.6819169570922852,0.7396,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
50,1.0115878582000732,0.6128982843137255,0.6151513534545898,0.7555,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
60,0.9432012487630375,0.6386398565573771,0.5795436859130859,0.7743,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
70,0.8868733770410779,0.6593584947183099,0.55344267578125,0.7806,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
80,0.8432787528008591,0.6764805169753086,0.5481898071289063,0.783,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
90,0.8076826045801352,0.6902043269230769,0.5285075393676758,0.8023,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
100,0.7758768938555576,0.7031636757425742,0.4992686378479004,0.8095,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
110,0.7515804453476055,0.7131193693693694,0.49105600662231447,0.8165,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
120,0.7303635157214684,0.7216101144045762,0.5026997756958008,0.8109,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
130,0.7094794459143797,0.7300168026884302,0.47330467834472656,0.824,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
140,0.6913267320891443,0.737098751671868,0.46180688018798827,0.8262,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
150,0.6748600821171609,0.7434977111943404,0.47701210403442385,0.8127,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
160,0.6608531304369483,0.7487075692547795,0.43678405303955076,0.8393,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
170,0.6466669202332457,0.7540970437017995,0.44385041046142576,0.8386,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
180,0.6340294738962052,0.7591484564689559,0.44295038604736325,0.8383,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
190,0.6223286961474938,0.7639870193887611,0.43427026138305663,0.839,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
200,0.6116742767321479,0.7683812051201998,0.4276663749694824,0.8423,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
210,0.6012836883297075,0.7724409009812667,0.4195549446105957,0.844,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
220,0.5914081835185063,0.7761850695430031,0.4155390785217285,0.8479,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
230,0.5823393531898231,0.7796208932935107,0.4050246086120605,0.8496,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
240,0.5741039001910556,0.7827921018276762,0.4054281219482422,0.8492,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
250,0.5658804317166034,0.7859727443609023,0.4601819267272949,0.8336,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
260,0.5591699835478542,0.7884563253012048,0.4119899543762207,0.8437,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
270,0.5524594443856702,0.7911252900232019,0.406594841003418,0.85,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
280,0.5459951026060971,0.7937779642058166,0.39474922256469724,0.8557,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
290,0.5390455035617491,0.7965712742980562,0.42505462188720705,0.8446,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
300,0.5333599871782769,0.7986886743215031,0.4075247749328613,0.8517,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
310,0.5285244763258732,0.8007323232323232,0.38104014892578125,0.8621,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
320,0.5231938781803601,0.8028253424657534,0.3738650016784668,0.8629,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
330,0.5181360543113506,0.8047972011385199,0.3561172500610352,0.8691,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
340,0.5129410664460058,0.8068197513812154,0.37212889251708986,0.8653,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
350,0.5084790909439592,0.8085308586762076,0.3668151214599609,0.8625,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
360,0.5036416755895363,0.8104682325257103,0.36856008834838866,0.8667,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
370,0.49873913547356735,0.8123569187722571,0.34869265975952146,0.8708,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
380,0.49404132555120356,0.8141819382532607,0.3365746139526367,0.8778,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
390,0.4896899072499219,0.8157672510857327,0.36557997360229494,0.8688,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
400,0.4855919940654473,0.8172975145052532,0.340761213684082,0.8742,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
410,0.4814059806741741,0.8189297460608842,0.35385296630859375,0.8702,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
420,0.47754366701888523,0.8203859937285352,0.33564248275756836,0.8783,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
430,0.4741610080694794,0.8216876914102377,0.3470781539916992,0.8727,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
440,0.47003189527327577,0.8232195026364543,0.3376327682495117,0.8768,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
450,0.4663567196713262,0.8245393270168594,0.34492359313964843,0.8761,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
460,0.4632322300970351,0.8257419585661715,0.34755076751708985,0.8774,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
470,0.45962380461332175,0.827235060690943,0.3463908195495605,0.8758,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
480,0.4565497558819318,0.828386643118786,0.33652065658569336,0.8782,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
490,0.4532753028422365,0.8295665684264479,0.3419839126586914,0.8744,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
500,0.4502192731780182,0.8307147790055248,0.34872602996826174,0.872,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
510,0.44746849030358987,0.8318177621861153,0.3253733856201172,0.8818,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
520,0.4443465172812767,0.8330403488652824,0.3249117202758789,0.8832,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
530,0.44159460307748777,0.8340870736617717,0.32239063873291013,0.8842,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
540,0.4386348272134736,0.8352546780567178,0.3199408790588379,0.8833,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
550,0.4360315964843301,0.836244152213601,0.3210371322631836,0.8846,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
560,0.43311338003095307,0.8374292637830569,0.3080050605773926,0.8865,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
570,0.43060182798071506,0.8383799812857772,0.3280345878601074,0.8807,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
580,0.4283350424712894,0.8392572209000433,0.3451438552856445,0.8758,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
590,0.42612638412325693,0.8400729421786817,0.3329677856445312,0.8776,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
600,0.4241738215926654,0.8408510888912156,0.34066795120239257,0.8745,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
610,0.4217001603838222,0.84173874987128,0.3176482063293457,0.8868,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
620,0.41914259853629693,0.8427654239692027,0.3117213493347168,0.889,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
630,0.4169357220727964,0.8435070032898017,0.31420861358642577,0.8899,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
640,0.41477395700713554,0.8443326219213031,0.3225581855773926,0.8819,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
650,0.4126020301633291,0.8451538498695779,0.3079149429321289,0.8882,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
660,0.4106374115032515,0.8459619684140425,0.303476091003418,0.8887,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
670,0.40829062454033094,0.8468952066348047,0.3191543914794922,0.8861,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
680,0.4063944458334127,0.8476537254177823,0.30615049362182617,0.8907,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
690,0.40441768051831545,0.8484783004276226,0.31987102127075195,0.8863,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
700,0.40246174894804465,0.8492147565240785,0.3023435821533203,0.89,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
710,0.40036526759718766,0.8500370640821384,0.30604361152648923,0.8906,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
720,0.39825017084145675,0.850887480363065,0.31850119934082033,0.8876,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
730,0.3961990967554528,0.8516526080220348,0.3110438911437988,0.8856,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
740,0.3942409612606571,0.8523306164034641,0.31086133728027343,0.8842,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
750,0.39234166894052513,0.8530323337242419,0.3010314064025879,0.8926,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
760,0.39053594617730114,0.8537723177384692,0.30242724838256835,0.8896,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
770,0.38884186343046634,0.8544292502855279,0.31765426025390625,0.8874,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
780,0.38711879453637554,0.8550491222419069,0.3288057304382324,0.8811,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
790,0.38565926509927845,0.8555786889807601,0.3061185028076172,0.8896,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
800,0.3839955983964516,0.8561538310566807,0.3179866561889648,0.8847,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
810,0.3825257272105898,0.8566928981237402,0.30430297317504884,0.8902,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
820,0.38131568350239065,0.8571326007045489,0.3024539009094238,0.8888,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
830,0.3801343548347534,0.8575137258614162,0.2987383758544922,0.8928,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
840,0.3785917776691481,0.8580854844743734,0.297316760635376,0.8956,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
850,0.37691156358242917,0.8587268946395564,0.3034558563232422,0.8914,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
860,0.37509454064966774,0.8594377968578736,0.31929261703491213,0.8885,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
870,0.3736031648956855,0.860030697002528,0.30441970748901365,0.8854,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
880,0.37220140634711746,0.8605364155658694,0.2891238296508789,0.8982,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
890,0.3708022794831233,0.8610660077656195,0.28451396255493167,0.8981,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
900,0.3692726796584604,0.8616339441535776,0.284954483795166,0.8948,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
910,0.3679880226238621,0.8621095098377632,0.2862173324584961,0.8943,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
920,0.3666950449271184,0.8626130932058723,0.2990040298461914,0.8888,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
930,0.3655388316364153,0.8630361364403918,0.3057016311645508,0.8889,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
940,0.36427896452953773,0.8635253090544605,0.29790677566528323,0.8911,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
950,0.3630419310444622,0.8640174199311805,0.29716210746765137,0.8905,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
960,0.36158931116788656,0.8645785588004191,0.32023350982666016,0.8877,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
970,0.36034796451845585,0.8649782108605495,0.3082155490875244,0.888,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
980,0.35906903775625804,0.8655059485633658,0.3009438751220703,0.8957,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
990,0.3578227308459122,0.8659813039614017,0.29932580947875975,0.8898,0.9113,0.2624569553375244,0:9:28,cuda:0,0.01
1000,0.3565025493997075,0.8664667389391654,0.2805148410797119,0.8981,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1010,0.3550528643060348,0.8670144505973121,0.28369552001953124,0.8978,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1020,0.35395463318837106,0.8674300763923115,0.2781479263305664,0.8984,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1030,0.35252614756759754,0.8679405350170815,0.27528673782348634,0.9026,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1040,0.35120995107582653,0.8685015405993234,0.27652761726379393,0.9003,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1050,0.3498958072782476,0.8689770075394926,0.27357894477844236,0.9008,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1060,0.34869465239314235,0.8694656827880513,0.2727627452850342,0.9022,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1070,0.34740840592993166,0.8699706945178918,0.27860295486450193,0.9013,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1080,0.3460930667744297,0.8704341055940392,0.27264086837768553,0.9021,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1090,0.3447403199560358,0.8709736720687468,0.26770732460021973,0.9044,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1100,0.34330977351401587,0.871515872335562,0.2754489120483398,0.9017,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1110,0.34197141192049707,0.872002236819752,0.2844341453552246,0.8973,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1120,0.3408594527585223,0.8723939334418318,0.2713981647491455,0.9027,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1130,0.33971068188626824,0.8728273263251571,0.2727616310119629,0.8995,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1140,0.33855012276251634,0.8732530734880644,0.27016846923828125,0.9036,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1150,0.33734953871215784,0.8737226077927756,0.26951976470947264,0.9016,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1160,0.33606098533109385,0.874222940029254,0.28747082901000975,0.897,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1170,0.33504298910865965,0.8746139696009453,0.2783623207092285,0.8966,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1180,0.33410738364257475,0.8749650298412022,0.27873486671447756,0.9039,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1190,0.3330805115759984,0.8753434428828067,0.27242593955993655,0.9023,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1200,0.33194758534356505,0.8757679057948234,0.27930228271484375,0.8996,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1210,0.3307021012719228,0.876224280369947,0.27174942169189453,0.9063,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1220,0.32958520577087314,0.8766827914047202,0.2721203063964844,0.9042,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1230,0.3285022524953632,0.8770763058366554,0.26922457122802734,0.9035,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1240,0.32741374369930887,0.8774745260062862,0.2773665382385254,0.9013,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1250,0.32627072365641485,0.8778993387307653,0.2696595977783203,0.9047,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1260,0.3253276679082437,0.8782518956400279,0.27460794563293456,0.9008,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1270,0.3242749108821463,0.8786452662575472,0.269564461517334,0.9034,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1280,0.3231220253409682,0.8790784886575665,0.27338752784729003,0.9027,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1290,0.3222539841164672,0.8794212218649518,0.27499871826171873,0.9021,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1300,0.3214454582056632,0.8796981570163982,0.27337985458374026,0.8989,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
1310,0.3204126679759405,0.880062581001296,0.28746576652526856,0.8944,0.9113,0.2624569553375244,0:9:28,cuda:0,0.005
