Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.309720754623413,0.1171875,2.303280100250244,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
100,2.3038533536514434,0.09676670792079207,2.303121074676514,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
200,2.3034737098276317,0.09825870646766169,2.3026631801605224,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
300,2.303293920434591,0.09834406146179402,2.303137456893921,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
400,2.311329807989683,0.09925897035881436,2.5256798191070557,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
500,2.3106599024321404,0.09976591760299626,2.3026185245513915,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
600,2.3093396594695568,0.09946670135275755,2.302605638504028,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
700,2.3083877049632417,0.09937555753791258,2.3026048419952394,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
800,2.306698347173308,0.10085715401437051,2.3768639930725097,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
900,2.3066112591934944,0.10070119411274646,2.3026226726531984,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1000,2.306228154064923,0.10059203949012747,2.302581531906128,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1100,2.305896701609051,0.10025420359009315,2.3021763389587404,0.1132,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1200,2.300323422544511,0.10267996666319408,2.2532149917602537,0.1604,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1300,2.3030544012850873,0.10244374459082604,2.3026695011138916,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1400,2.3030306016220474,0.10209616930083043,2.3026098846435548,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1500,2.30300788408876,0.10170639219934995,2.3026069248199463,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1600,2.2979838439694564,0.10369451391059706,2.007727650260925,0.2712,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1700,2.300276688878485,0.10342196234186525,2.3026339935302733,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1800,2.3004080112459397,0.10346624062239511,2.30263762550354,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
1900,2.3005305498202997,0.10326730718610161,2.3026095752716063,0.1,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2000,2.2969536026684105,0.1051671043581567,1.910503585243225,0.2601,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2100,2.285257700832251,0.11018355862561782,1.907614588546753,0.2566,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2200,2.2703973273816813,0.11593389416245098,1.8408970079421998,0.2792,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2300,2.2550021788946006,0.12229176860762246,1.7743276681900024,0.3083,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2400,2.2399742387371053,0.1286607608129234,1.720045592880249,0.3181,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2500,2.2252680343410383,0.1349956228114057,1.7124461053848266,0.354,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2600,2.208917205777519,0.14220478595478594,1.6406068546295165,0.3738,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2700,2.1935363863175974,0.14906496062992125,1.7156489309310914,0.3503,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2800,2.1786408017765506,0.15569303613704383,1.5795212537765504,0.4123,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
2900,2.1645971212997037,0.1617824643118989,1.5795238550186157,0.4052,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3000,2.149425356028382,0.16854441989410932,1.5274134197235107,0.4412,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3100,2.1344517200226965,0.17519516278694477,1.4887599420547486,0.4424,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3200,2.119630506852778,0.18152702861163228,1.4774804391860963,0.4579,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3300,2.106301919773465,0.18750710657974531,1.493211305618286,0.4454,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3400,2.0925705340625678,0.19354905459093585,1.4824685535430908,0.4412,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3500,2.0788891793592374,0.19972796955403088,1.4019242471694946,0.4829,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3600,2.064403232799652,0.20591926965706542,1.327064319038391,0.5132,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3700,2.0514717589833222,0.21164979209627802,1.3493516767501832,0.5061,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3800,2.0373787822656215,0.21780265626542905,1.3517780946731568,0.5018,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
3900,2.023323432006278,0.22387030563484173,1.28170846824646,0.5337,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
4000,2.009114200875477,0.22992369754206016,1.2306995498657227,0.5538,0.9173,0.30055793838500977,6:58:20,cuda:6,0.001
