Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,4.668933868408203,0.0078125,315.2698807128906,0.01,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
100,7.893683683754194,0.013691212871287129,4.556619070434571,0.0232,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
200,6.225175129240425,0.016674440298507464,4.52473473815918,0.0144,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
300,5.654952272624272,0.017338039867109634,4.436647383117676,0.0224,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
400,5.3796280481098,0.021438046192259676,4.199222297668457,0.0568,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
500,5.233136533380865,0.019324425574425576,4.60595739440918,0.01,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
600,5.12718862458927,0.017862718567860116,4.585733584594727,0.013,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
700,5.031964519023895,0.020368303571428572,4.666265203857422,0.0526,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
800,4.964516926705837,0.020205078125,4.4007499885559085,0.0216,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
900,4.901204956637488,0.020390625,4.357005606079102,0.026,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1000,4.8486912397219575,0.022057903951975988,4.136917133331298,0.0518,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1100,4.7747128537808186,0.025480331969076852,3.950046618652344,0.0724,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1200,4.70433821982272,0.029432836598582743,3.862039838409424,0.078,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1300,4.644273433343918,0.03325875673595073,3.8602125869750976,0.0908,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1400,4.588135710863491,0.03707447283774124,3.8580501007080077,0.0868,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1500,4.535186287798509,0.04113679953302202,3.7651696670532226,0.102,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1600,4.4877018153686095,0.045115538004379105,3.844692346954346,0.101,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1700,4.443944492163221,0.04881605092728879,3.7061570373535155,0.122,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1800,4.401368905346626,0.053130212677231024,3.670386322784424,0.1254,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
1900,4.362944028839799,0.05726834167544784,3.894079309082031,0.0982,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2000,4.327496906598887,0.06125265890890891,3.6093338176727294,0.1556,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2100,4.291865024768931,0.06537848546234509,3.5638765213012698,0.1582,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2200,4.259105398386412,0.06954635949943117,3.929658930206299,0.1064,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2300,4.227891144166184,0.07350040805223068,3.473145904159546,0.1722,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2400,4.196795543963022,0.0775123826903024,3.470672486114502,0.174,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2500,4.167237703888505,0.08166916916916916,3.4505265769958497,0.1886,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2600,4.14222754342399,0.08508615710435118,3.444603604888916,0.1934,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2700,4.116066073284001,0.08903990545050056,3.4107752128601074,0.2006,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2800,4.089181806643094,0.09313270915266357,3.3246229629516604,0.2116,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
2900,4.064363848416068,0.09697587605731055,3.3177796936035158,0.223,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3000,4.041007453723362,0.10071646087101618,3.3481586486816406,0.2164,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3100,4.017407724088524,0.10456614322622315,3.2825649032592774,0.2284,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3200,3.9934620814344313,0.10878344023779725,3.212008989715576,0.2542,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3300,3.970756711781893,0.11267445388349515,3.3147464233398436,0.226,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3400,3.948663186233653,0.11645594081272084,3.2245113765716553,0.2494,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3500,3.9269697905916834,0.12031093548848519,3.161793230056763,0.2656,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3600,3.9060420495315613,0.12406132665832291,3.1740178844451905,0.2658,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3700,3.8854352854663023,0.12782015288864837,3.1343373989105223,0.272,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3800,3.8658298355788583,0.131445569828722,3.083023515701294,0.2792,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
3900,3.8457917799539527,0.13534980744544287,3.0930253158569334,0.2866,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4000,3.8264954714064903,0.13916223404255318,3.0494648929595947,0.294,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4100,3.8079086912611433,0.1428402430089144,3.075611093902588,0.2854,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4200,3.789337769326585,0.14630952735725355,3.1001541793823244,0.2844,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4300,3.7708185847750197,0.14995925020374898,2.9967535373687744,0.3092,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4400,3.752874083800049,0.1536150147928994,3.1959504150390625,0.2652,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4500,3.735401619180977,0.15721308967512237,3.0058926193237303,0.2994,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4600,3.717967933476049,0.16079056922072268,2.9887576263427733,0.3146,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4700,3.7010540147425584,0.16428138649195695,3.3619290290832518,0.2406,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4800,3.6842412774028404,0.167811880671743,2.953953056716919,0.3246,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
4900,3.66725898166593,0.1714247854296516,2.8634294536590574,0.3414,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5000,3.6508541704954967,0.1749946805847602,2.8424346519470216,0.3526,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5100,3.63622304528583,0.17807836736697427,2.8854092876434327,0.3446,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5200,3.6203542896118694,0.18155148757943385,2.831422534942627,0.358,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5300,3.6038728524713823,0.1852889429435103,2.791301944732666,0.3696,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5400,3.589013386789604,0.18862424663885025,2.7672688835144044,0.3694,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5500,3.574080205126464,0.1919492489758762,2.7854664730072023,0.3704,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5600,3.5586554129953942,0.19542216137684398,2.803474772644043,0.3698,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5700,3.54387466019924,0.19883032106465215,2.7774090217590333,0.3764,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5800,3.5294096394344256,0.20202434392265192,2.7768637893676757,0.3738,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
5900,3.5146971421628606,0.20550508104209098,2.7501826152801514,0.3786,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6000,3.500643261304873,0.20863541058165735,2.7258060905456545,0.3892,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6100,3.4866634028343246,0.2118115406714274,2.7624570728302,0.3818,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6200,3.4732618446853776,0.2149734010336752,2.7577504695892334,0.3864,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6300,3.4598198026451845,0.21817005444285487,2.7025410930633544,0.4,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6400,3.446432574070259,0.2213170865279299,2.7005318840026855,0.4032,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6500,3.433008017809581,0.2244586254044061,2.6179114887237547,0.4214,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6600,3.4204801121066275,0.22745452734997346,2.681844567489624,0.4038,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6700,3.407269297885517,0.2306698864060982,2.655004697418213,0.4066,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6800,3.3938631721399957,0.2339401093439364,2.6216787044525147,0.4192,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
6900,3.381283647574603,0.23706798802612483,2.858242223739624,0.362,0.6656,2.028418590927124,7:15:56,cuda:5,0.001
