Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.303636074066162,0.0703125,4946.9508,0.1,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
100,42.591991476493305,0.11393873762376237,2.26288289642334,0.1332,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
200,22.50623688887601,0.13658271144278608,2.0965319412231445,0.1975,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
300,15.72678615128083,0.156327865448505,1.9822520627975464,0.2548,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
400,12.323317273656217,0.1734009360374415,2.461577070617676,0.1042,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
500,10.34161223484187,0.16151685393258428,2.2688180770874022,0.1397,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
600,8.981011099721092,0.1654916753381894,2.055406426048279,0.2382,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
700,7.986940729649975,0.17728590544157002,1.8358983240127564,0.3391,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
800,7.240471897405299,0.18769525148391128,2.309676946258545,0.1843,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
900,6.667239190207293,0.1918911413496251,1.9087627346038818,0.2996,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1000,6.194773466996448,0.19991877030742314,1.8215243253707887,0.3196,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1100,5.801733427496288,0.20972506248579867,1.7075759897232055,0.3736,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1200,5.4781045309639635,0.21693014897385143,1.7926857250213624,0.3354,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1300,5.203921219467807,0.22295413020482738,1.6997242094039917,0.3778,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1400,4.962840203824176,0.23006518439146353,1.6614803321838378,0.3975,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1500,4.750048499652193,0.23751979331610967,1.6017734939575194,0.412,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1600,4.566384385287221,0.24363082213191622,1.7363793685913087,0.3552,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1700,4.402900332701701,0.2493012650779641,1.5876079336166382,0.4248,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1800,4.255097574278791,0.2554008057793832,1.566232056236267,0.4278,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
1900,4.121312843651858,0.26150384969728874,1.564527372932434,0.4206,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
2000,4.002925320890483,0.2661711373726005,1.571817098426819,0.4172,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
2100,3.8941520646792145,0.2710355505270053,1.5644766864776611,0.4396,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
2200,3.7939942347781814,0.2760828170295004,1.51904139213562,0.4537,0.9104,0.3096335127353668,10:36:48,cuda:5,0.001
