Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3020896911621094,0.11328125,2.3024051025390624,0.1,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
10,2.6782650514082476,0.09694602272727272,2.3025914489746095,0.1,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
20,2.4993712334405807,0.0974702380952381,2.302605010986328,0.1,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
30,2.4358882673325075,0.09897933467741936,2.30259697265625,0.1,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
40,2.403385086757381,0.09879954268292683,2.3025514892578123,0.1,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
50,2.3835903242522596,0.10083486519607843,2.301343395996094,0.1459,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
60,2.369975703661559,0.09996157786885246,2.2941585327148437,0.1274,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
70,2.3630061955519124,0.10610145246478873,2.2524462646484373,0.1627,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
80,2.3502034346262612,0.10966435185185185,2.1932833068847657,0.1406,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
90,2.32908880841601,0.11532022664835165,2.1057776916503905,0.173,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
100,2.3101139785117595,0.12057590810307357,2.531702294921875,0.144,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
110,2.3113286056884834,0.1200049421067495,2.2718582580566404,0.1095,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
120,2.3014989890943567,0.12283087283087284,2.1244822387695312,0.1753,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
130,2.285138941073469,0.12636032049748863,2.050177783203125,0.1848,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
140,2.2706121806170354,0.13034603421461896,2.034462371826172,0.1822,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
150,2.254135400866651,0.13284328977390583,1.9710437622070311,0.1776,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
160,2.2377579248825694,0.13561320754716982,1.9730661804199219,0.1898,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
170,2.2212302999561073,0.13850485259110054,1.9274804382324218,0.1837,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
180,2.203494956348619,0.14146557688981146,1.9083359375,0.1853,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
190,2.1878635823541033,0.14355228651040813,1.8887495483398438,0.198,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
200,2.18298783324624,0.14466653666146645,2.283928601074219,0.1033,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
210,2.1800355171555044,0.1460252600297177,2.1151384399414064,0.1699,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
220,2.172707555784401,0.1473404255319149,1.952237957763672,0.1781,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
230,2.164441634324383,0.14867706919945725,1.919805780029297,0.184,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
240,2.1548668746055335,0.15027633289986997,1.9335850219726562,0.2002,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
250,2.1455229631821613,0.15182584269662922,1.891719384765625,0.1943,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
260,2.1358060463565307,0.1539765906362545,1.8907814819335937,0.2063,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
270,2.1264849959356935,0.1553684971098266,1.8762172393798828,0.2015,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
280,2.117668762972522,0.15748327759197325,1.8849477111816406,0.2187,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
290,2.109773101231767,0.1594994617868676,1.8660253356933594,0.2171,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
300,2.1062117802226203,0.16024455672465882,2.336178662109375,0.1557,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
310,2.1031121958622903,0.16090331686661963,1.9034985412597656,0.2025,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
320,2.097701227959507,0.1618749389588827,1.88478134765625,0.2062,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
330,2.0925144665574744,0.16324936073491808,1.8901170288085938,0.2096,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
340,2.086488803877902,0.1646635720194871,1.876763702392578,0.2171,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
350,2.0801717651051086,0.1664657558710599,1.8593568359375,0.2295,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
360,2.0741186439188954,0.16794535115895476,1.8389884948730468,0.2159,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
370,2.0681280279010523,0.1695561280513557,1.8687795318603515,0.2155,0.8052,0.6728494491577148,0:59:17,cuda:0,0.001
