Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3080785274505615,0.09375,2.301917736816406,0.1291,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
10,2.3404209830544214,0.10369318181818182,2.3028799438476564,0.1,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
20,2.322575398853847,0.10314360119047619,2.302472857666016,0.1,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
30,2.315888112591159,0.10943800403225806,2.300473522949219,0.1105,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
40,2.3110523282027824,0.11342416158536585,2.267788983154297,0.1398,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
50,2.297143622940662,0.11864276960784313,2.1855076904296875,0.1749,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
60,2.275935884381904,0.12656890368852458,2.0956967224121095,0.1779,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
70,2.2655958222671293,0.1309694102112676,2.117037060546875,0.1692,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
80,2.2501077740280717,0.13558545524691357,2.062747900390625,0.1782,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
90,2.2267162066239576,0.14141912774725274,2.00318544921875,0.1699,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
100,2.221020954064574,0.1423859049984477,2.8595212890625,0.1336,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
110,2.2380733646197832,0.13947331262355267,2.4063044738769532,0.1,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
120,2.2444839991303005,0.1357970732970733,2.2923544738769532,0.1126,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
130,2.2480151402953137,0.13389440325281032,2.2954385803222657,0.1147,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
140,2.259629124775115,0.1333592534992224,2.2865562255859375,0.1,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
150,2.261512273674905,0.13108017008919312,2.271479864501953,0.0999,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
160,2.2636627586081297,0.13017895351099007,2.3051163208007814,0.0984,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
170,2.2655631461612384,0.1296465848745651,2.2810870727539063,0.1305,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
180,2.2680955328262504,0.1290866632070576,2.2840847778320312,0.1,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
190,2.2679063302730853,0.12801180134404197,2.2815186889648436,0.1205,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
200,2.2702074476411673,0.12693057722308893,2.301105914306641,0.1087,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
210,2.268885214863702,0.12786961367013372,2.1456132446289065,0.1633,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
220,2.2619983451248062,0.1295744680851064,2.05497666015625,0.1948,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
230,2.2531923772845532,0.13221675712347356,2.0817385498046876,0.1918,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
240,2.2441445443658123,0.13479356306892068,1.976233770751953,0.207,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
250,2.233252140764291,0.13801498127340825,1.9467515380859375,0.2351,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
260,2.2222080555855155,0.14087635054021608,1.9273911010742188,0.2318,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
270,2.212009725846307,0.1441907514450867,1.938277001953125,0.2333,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
280,2.2018151856319297,0.14730351170568562,1.8985677978515625,0.2423,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
290,2.1915346689706725,0.15029601722282024,1.879453643798828,0.2283,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
300,2.1868737971165464,0.15150666736118346,2.166536083984375,0.1616,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
310,2.1813617202108073,0.1528127835467285,1.929323114013672,0.2083,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
320,2.1733957706618696,0.15495287625744703,1.8793643310546875,0.2313,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
330,2.165237184703909,0.1572236954257032,1.877884100341797,0.2426,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
340,2.156453213716695,0.15991819101020313,1.8641110443115234,0.2427,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
350,2.1478247820921204,0.1626875167425663,1.8376666809082032,0.2667,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
360,2.138880201052104,0.16557426859970484,1.8219430297851562,0.253,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
370,2.131017788206265,0.16804628769321733,1.829145999145508,0.2694,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
380,2.1230455704921267,0.1703470680154618,1.7917673522949218,0.2843,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
390,2.1152131311193627,0.17253986697652055,1.7773380340576173,0.2789,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
400,2.1105580173286005,0.1740010165780419,1.9173974853515625,0.2403,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
410,2.1036633438259353,0.17610428745804088,1.7971918487548828,0.2799,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
420,2.096615179117002,0.17847966934763182,1.7841508728027344,0.2885,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
430,2.089320643405287,0.18123999854524295,1.762999722290039,0.2991,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
440,2.081970051333482,0.18375479812340062,1.7400152404785156,0.3172,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
450,2.0742472361484303,0.1862663330553239,1.715402456665039,0.3149,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
460,2.0668629731112667,0.18914451319010062,1.7102774108886718,0.3337,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
470,2.060607858373029,0.19170881022092096,1.7470821197509765,0.3124,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
480,2.0548032500143005,0.19406030101641908,1.69869912109375,0.3435,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
490,2.049038761000284,0.19631794085712462,1.727479556274414,0.3349,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
500,2.0420850527079852,0.19926691494022658,1.668107342529297,0.3568,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
510,2.034705657874718,0.20240304964103822,1.6320467437744142,0.3739,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
520,2.02751634111902,0.20532812782090631,1.653147705078125,0.3739,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
530,2.019568007312024,0.20856704256952235,1.6045588623046876,0.3798,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
540,2.011971544154226,0.21165686388132351,1.5623738525390625,0.3956,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
550,2.0039752370540604,0.21496486886271832,1.6054404083251954,0.3775,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
560,1.9961377009736923,0.218102195898754,1.5412488250732421,0.4099,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
570,1.9882286550472954,0.2213557391447549,1.5406121856689454,0.4065,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
580,1.9812704435011943,0.2242238495981011,1.59745400390625,0.3771,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
590,1.9753940487747979,0.2266694524036931,1.6974057861328125,0.3676,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
600,1.969084326887285,0.22944928519252844,1.5664767333984375,0.3942,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
610,1.9623520856127288,0.23232705532176948,1.547993505859375,0.3997,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
620,1.9553907553884557,0.2352948601433909,1.4975676391601562,0.4275,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
630,1.9483402226230182,0.23819002782470436,1.5353219848632813,0.4004,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
640,1.9415183875654747,0.24103430988946492,1.503243112182617,0.4169,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
650,1.934317127353801,0.24393238948280843,1.47205087890625,0.4345,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
660,1.927290538338096,0.24683439248790667,1.4279976989746093,0.4543,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
670,1.9201140625169653,0.24979561805101375,1.4395436065673828,0.4571,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
680,1.9127816363811099,0.25286810733683146,1.3986845916748047,0.463,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
690,1.9073693988922098,0.25518776945768096,1.5967382263183594,0.37,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
700,1.9018819108902008,0.25757380899127713,1.4505983306884767,0.4465,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
710,1.8954616377556075,0.26007717750826903,1.4490619598388672,0.4504,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
720,1.8884304072344191,0.2631033920417482,1.3952710662841796,0.4741,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
730,1.8819282346852675,0.2659044606476517,1.3751054992675782,0.4692,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
740,1.8754326029713573,0.2687433890416755,1.4151340942382813,0.4584,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
750,1.8684698975526621,0.271730849509497,1.348391079711914,0.4836,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
760,1.8613515531341522,0.2747631307929969,1.3580342834472656,0.4889,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
770,1.8546432622299613,0.2777139662533035,1.3279105407714844,0.4901,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
780,1.8482239816793111,0.2804560505719446,1.3766857421875,0.4808,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
790,1.8435856112592983,0.2824864216619093,2.0108624938964845,0.2647,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
800,1.840156609684257,0.284115154243658,1.463357077026367,0.4465,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
810,1.8356538997358705,0.2860394757191463,1.4211600494384766,0.4606,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
820,1.8297298820675094,0.2884227963641919,1.3585824615478517,0.4921,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
830,1.823802093922678,0.29100560292785993,1.3288883026123046,0.5046,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
840,1.8172370109706006,0.2938087160751566,1.3027157775878906,0.5047,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
850,1.8108643213626807,0.2963868626584144,1.3582991790771484,0.4968,0.8097,0.6451278274536133,1:57:14,cuda:0,0.001
