Iters,训练损失,训练精度,验证损失,验证精度,最佳验证精度,最小验证损失,训练用时(h:m:s),训练设备,学习率
0,2.3042311668395996,0.09375,2.302853818511963,0.1,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
100,2.317512590106171,0.10175587871287128,2.302295143508911,0.1,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
200,2.3096104901821457,0.10632384950248756,2.2643422103881834,0.1298,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
300,2.1653961081629833,0.16068456096545986,1.3368131956100464,0.4572,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
400,2.2062983943118626,0.15136200437090228,2.1415630279541014,0.1698,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
500,2.178440100076856,0.16250312656328164,1.6284352186203004,0.3076,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
600,2.090927197467093,0.19480121925802418,1.2551634544372559,0.4745,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
700,1.981978410565457,0.23745087531261164,1.0088561912536622,0.6181,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
800,1.914387677134659,0.2636281870796183,0.9752874069213867,0.6114,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
900,1.861076569500842,0.28645471291533436,0.9475953053474426,0.6443,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1000,1.8057458156577098,0.3094954932398598,0.8247581490516662,0.6993,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1100,1.7437084313680435,0.33455777765134276,0.7898341088294983,0.7019,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1200,1.6928093536131743,0.3553069237190859,0.746872140789032,0.7225,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1300,1.6419009591967548,0.3750933015506116,0.7722447033882142,0.703,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1400,1.5961290271830326,0.3931972637038362,0.6625570418834686,0.7377,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1500,1.5617754592742639,0.4072779261980297,0.6370423463821411,0.7531,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1600,1.5260391489480616,0.4210679488182814,0.6428170381069184,0.7424,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1700,1.495723712455723,0.43300348117586385,0.6297316273212433,0.7492,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1800,1.4698814233044597,0.44306816600570514,0.7190363869667054,0.7181,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
1900,1.4447002841890613,0.4531435423259494,0.6151810149669648,0.7669,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2000,1.418420347308587,0.46328594689378755,0.571842160654068,0.7839,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2100,1.39286023827682,0.4732992157681298,0.5585423394680024,0.7955,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2200,1.3743336476151848,0.4809418237203211,0.5759620438575744,0.7895,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2300,1.352074879378994,0.4898181805805152,0.6260171393871308,0.7568,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2400,1.3336233589815714,0.49738686188537423,0.628085734653473,0.7671,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2500,1.3142355077669752,0.5050199168253332,0.512868778181076,0.8011,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2600,1.296198654707866,0.5122422059461282,0.5320957358837127,0.7968,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2700,1.2789394088130603,0.5190083747042175,0.49563594002723693,0.8206,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2800,1.2613373919471513,0.5259486981613206,0.4672685263156891,0.8258,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
2900,1.248729044638789,0.5312472999827199,0.49634194684028626,0.8153,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3000,1.2339834674224643,0.5370816456489059,0.507916470861435,0.8168,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3100,1.2207619230609335,0.5426054843794205,0.5071280371665955,0.8156,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3200,1.2073377719226217,0.547872704850644,0.5105531461715698,0.8167,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3300,1.1942698811876429,0.5530424196977751,0.5473814091205597,0.7922,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3400,1.1818652979283373,0.5578167606308497,0.4607245739936829,0.8291,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3500,1.1695109683105827,0.5627035757749302,0.43120232334136965,0.8427,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3600,1.1605459643228435,0.5663816430585041,0.43856320934295656,0.8399,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3700,1.1493233460511032,0.5707450140520773,0.43115466723442075,0.8454,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3800,1.1397891141625578,0.5745196270772883,0.4779929817199707,0.8221,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
3900,1.1294825902422667,0.5785566852994088,0.4568448704719543,0.8289,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4000,1.119635080423353,0.5823837828524888,0.5734525894165039,0.7653,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4100,1.1103374042812042,0.586021300003056,0.4211600827932358,0.8448,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4200,1.1008616467810644,0.5897107955731885,0.45120958518981935,0.8286,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4300,1.094093378732043,0.5925407220700507,0.41306089053153994,0.8468,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4400,1.0855606588139282,0.595843833646563,0.4307198042869568,0.842,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4500,1.0781236643202072,0.5988265043299084,0.39615576577186584,0.8564,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4600,1.0700169231398533,0.6019206411897693,0.4149675397872925,0.846,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4700,1.0621426546733823,0.6049534432654367,0.4881369262218475,0.8135,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4800,1.0546103586536417,0.607875639553096,0.4101311985492706,0.8491,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
4900,1.0468779922757057,0.610807731154751,0.40033993434906007,0.8573,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5000,1.041489451483575,0.6129888416911009,0.389809579372406,0.8582,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5100,1.0346583775055542,0.6156748274082992,0.3666800768852234,0.8683,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5200,1.0287271577155161,0.6179868608125693,0.43268754954338073,0.8325,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5300,1.0221701724218462,0.6205405692940564,0.43815098586082457,0.8337,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5400,1.0159169889430202,0.6229313135180287,0.42396370697021485,0.8483,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5500,1.0119081728278014,0.6246696511972296,0.3959132092475891,0.8507,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5600,1.006014274694108,0.6269759805786141,0.3930635873556137,0.8509,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5700,1.0012450403561066,0.6288760222476257,0.44194392681121825,0.8365,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5800,0.9955914124300478,0.6310558352056689,0.38827501096725464,0.8575,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
5900,0.9906674284164592,0.6329573572202281,0.43387828445434573,0.8404,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
6000,0.9852910889192619,0.6350055082179479,0.37001289348602295,0.8647,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
6100,0.9799729851231864,0.6370319207937062,0.3730209876537323,0.8665,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
6200,0.9767264298336639,0.638440316908525,0.3813187741756439,0.8596,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
6300,0.9718179983936036,0.6402943384780619,0.37979236974716185,0.8604,0.9148,0.23334423661231996,4:52:58,cuda:1,0.001
